stream,science_focus,field,hobby,free_time,subject,grade,age,career
Science,Medical,Research & Development,Logic & Problem Solving,Online Courses/Learning,Chemistry,A,22,Research Scientist
Arts,None,Law & Legal Services,Business & Money,Reading/Books,Law,B+,21,Lawyer / Advocate
Commerce,None,Economics & Data,Technology & Computers,Online Courses/Learning,Economics,A,21,Data Analyst
Science,Medical,Psychology & Counseling,Helping & Community,Reading/Books,Psychology,B+,19,Clinical Psychologist
Science,Medical,Research & Development,Science & Experiments,Online Courses/Learning,Biology,A+,17,Research Scientist
Science,Non-Medical,Design & Creative Arts,Logic & Problem Solving,Coding/Technical Projects,Computer Science,B,19,UX/UI Designer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Mathematics,A,22,Mechanical Engineer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Physics,C,22,Mechanical Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,A,20,Doctor
Commerce,Non-Medical,Data Science & Analytics,Business & Money,Online Courses/Learning,Economics,B+,17,Data Analyst
Science,None,Government Services,People Interaction,Reading/Books,Law,A,20,IAS Officer
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Online Courses/Learning,Physics,B,17,AI Engineer
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Mathematics,A,16,Data Scientist
Science,Medical,Medical & Healthcare,Business & Money,Online Courses/Learning,Biology,A+,22,Dentist
Science,None,Psychology & Counseling,Helping & Community,Reading/Books,Psychology,A,20,Clinical Psychologist
Commerce,None,Finance & Accounting Path,Business & Money,Online Courses/Learning,Business Management,B+,22,Chartered Accountant (CA)
Commerce,None,Law & Policy,Creativity & Design,Reading/Books,Political Science,A,19,IAS Officer
Arts,None,Media & Journalism,People Interaction,Designing/Creative Work,Economics,B,16,Journalist
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Mathematics,A,17,Chartered Accountant (CA)
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Mathematics,A+,16,Mechanical Engineer
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B+,20,Dentist
Commerce,None,Media & Journalism,People Interaction,Reading/Books,Political Science,B+,19,Journalist
Commerce,None,Design & Creative Arts,Creativity & Design,Online Courses/Learning,Design/Arts,B+,20,Graphic Designer
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Business Management,B+,22,Chartered Accountant (CA)
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Mathematics,A,17,Mechanical Engineer
Commerce,Non-Medical,Business & Management,Innovation & Future Tech,Online Courses/Learning,Economics,C,21,MBA Leadership Roles
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Biology,A+,22,Dentist
Arts,Non-Medical,Design & Creative Arts,Technology & Computers,Designing/Creative Work,Computer Science,A,16,UX/UI Designer
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B+,16,Pharmacist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Political Science,A+,20,Pharmacist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Physics,A+,20,Civil Engineer
Science,Non-Medical,Data Science & Analytics,Helping & Community,Online Courses/Learning,Physics,A,20,AI Engineer
Commerce,None,Business & Management,Helping & Community,Online Courses/Learning,Mathematics,B+,21,MBA Leadership Roles
Commerce,None,Media & Journalism,People Interaction,Reading/Books,Political Science,B+,21,Journalist
Commerce,None,Finance & Accounting Path,Technology & Computers,Online Courses/Learning,Mathematics,C,19,Chartered Accountant (CA)
Science,Non-Medical,Design & Creative Arts,Logic & Problem Solving,Coding/Technical Projects,Design/Arts,A+,16,UX/UI Designer
Science,Non-Medical,Business & Management,Logic & Problem Solving,Coding/Technical Projects,Business Management,B,19,Business Analyst
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Chemistry,B,17,Doctor
Commerce,Non-Medical,Business & Management,People Interaction,Online Courses/Learning,Biology,A,18,MBA Leadership Roles
Science,Medical,Medical & Healthcare,Helping & Community,Reading/Books,Chemistry,A,21,Pharmacist
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Chemistry,B+,19,Doctor
Commerce,Non-Medical,Business & Management,People Interaction,Reading/Books,Mathematics,A+,16,MBA Leadership Roles
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Psychology,A,22,Pharmacist
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Reading/Books,Mathematics,A,22,Chartered Accountant (CA)
Commerce,Non-Medical,Design & Creative Arts,Creativity & Design,Coding/Technical Projects,Computer Science,B,19,UX/UI Designer
Science,None,Psychology & Counseling,People Interaction,Reading/Books,Biology,A+,20,Clinical Psychologist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Economics,A,21,Mechanical Engineer
Science,Non-Medical,Economics & Data,Technology & Computers,Online Courses/Learning,Mathematics,A+,19,Business Analyst
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,A+,19,AI Engineer
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Chemistry,A+,18,Doctor
Arts,Non-Medical,Business & Management,Innovation & Future Tech,Coding/Technical Projects,Biology,A,19,Entrepreneur / Startup Founder
Science,Non-Medical,Engineering & Technology,Sports & Fitness,Coding/Technical Projects,Physics,B+,19,Civil Engineer
Science,Non-Medical,Engineering & Technology,Technology & Computers,Coding/Technical Projects,AI/ML/Data Science,A,17,Software Engineer
Science,Non-Medical,Research & Development,Innovation & Future Tech,Reading/Books,Biology,A+,17,Research Scientist
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Online Courses/Learning,Economics,B,20,Chartered Accountant (CA)
Science,None,Data Science & Analytics,Business & Money,Online Courses/Learning,Economics,A+,16,Data Analyst
Science,None,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,AI/ML/Data Science,A,22,Data Scientist
Science,Medical,Medical & Healthcare,People Interaction,Reading/Books,Biology,C,22,Doctor
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Economics,A+,21,Data Scientist
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Physics,A+,20,Mechanical Engineer
Arts,None,Psychology & Counseling,Helping & Community,Reading/Books,Psychology,B+,18,Clinical Psychologist
Commerce,None,Economics & Data,Logic & Problem Solving,Online Courses/Learning,Computer Science,B,16,Business Analyst
Commerce,Non-Medical,Design & Creative Arts,Technology & Computers,Designing/Creative Work,Design/Arts,A,20,UX/UI Designer
Science,Non-Medical,Business & Management,Business & Money,Reading/Books,Economics,C,20,MBA Leadership Roles
Commerce,None,Government Services,Helping & Community,Online Courses/Learning,Political Science,B+,17,IAS Officer
Commerce,None,Media & Journalism,Creativity & Design,Reading/Books,Economics,A+,22,Journalist
Science,None,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Computer Science,B+,20,Data Scientist
